Schedules,S.No.,Chapter/Heading/Sub-heading/Tariffitem,DescriptionofGoods,CGST(%),SGST/UTGST(%),IGST(%),CompensationCess
I,1,"0202, 0203, 0204, 0205, 0206, 0207, 0208, 0209, 0210",All goods [other than fresh or chilled] pre-packaged and labelled.,2.5,2.5,5.0,
I,2,"0303, 0304,0305, 0306, 0307, 0308, 0309",All goods [other than fresh or chilled] pre-packaged and labelled.,2.5,2.5,5.0,
I,3,,[Omitted],,,,
I,4,,[Omitted],,,,
I,5,,[Omitted,,,,
I,6,,[Omitted],,,,
I,7,0401,Ultra High Temperature (UHT) milk,2.5,2.5,5.0,
I,8,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter, including skimmed milk powder, milk food for babies [other than condensed milk]",2.5,2.5,5.0,
I,9,0403,"Yoghurt; Cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa",2.5,2.5,5.0,
I,9A,0403,"Curd, Lassi, Butter milk, pre-packaged and labelled",2.5,2.5,5.0,
I,10,0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2.5,2.5,5.0,
I,11,0406,Chena or paneer pre-packaged and labelled,2.5,2.5,5.0,
I,12,0408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter.",2.5,2.5,5.0,
I,13,0409,Natural honey pre-packaged and labelled,2.5,2.5,5.0,
I,14,0410,"Insects and other edible products of animal origin, not elsewhere specified or included",2.5,2.5,5.0,
I,15,0502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair.",2.5,2.5,5.0,
I,16,0504,All goods [other than fresh or chilled] pre-packaged and labelled.,2.5,2.5,5.0,
I,17,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers",2.5,2.5,5.0,
I,18,0507 [Except 050790],"Ivory, tortoise-shell, whalebone and whalebone hair, horns, unworked or simply prepared but not cut to shape; powder and waste of these products.",2.5,2.5,5.0,
I,19,0508,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof.",2.5,2.5,5.0,
I,20,0510,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.",2.5,2.5,5.0,
I,21,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption, other than semen including frozen semen.",2.5,2.5,5.0,
I,22,7,"Herb, bark, dry plant, dry root, commonly known as jaribooti and dry flower",2.5,2.5,5.0,
I,23,,[Omitted],,,,
I,24,,[Omitted],,,,
I,25,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split pre-packaged and labelled.",2.5,2.5,5.0,
I,26,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, frozen, whether or not sliced or in the form of pellets pre-packaged and labelled.",2.5,2.5,5.0,
I,27,0801,"Cashew nuts, whether or not shelled or peeled, desiccated coconuts",2.5,2.5,5.0,
I,28,0802,"Dried areca nuts, whether or not shelled or peeled",2.5,2.5,5.0,
I,29,"0802, 0813","Dried chestnuts (singhada), whether or not shelled or peeled",2.5,2.5,5.0,
I,29A,0802,"Walnuts, whether or not shelled",2.5,2.5,5.0,
